Name;zcmb;zhel;mb;e_mb;x1;e_x1;c;e_c;logMst;e_logMst;tmax;e_tmax;cov(mb,s);cov(mb,c);cov(s,c);set;RAJ2000;DEJ2000;bias
sn1992bl    ;0.042;0.0437;17.348;0.143;-1.714;0.088;-0.045;0.046;10.917;0.281;48947.276;0.335;0.00015;0.00142;-0.00051;3;348.804529;-44.743263;-0.013
sn1992bo    ;0.019;0.0185;15.784;0.149;-2.014;0.066;-0.043;0.029;10.456;0.281;48986.149;0.069;0.00039;0.00077;0.00003;3;20.492451;-34.211997;-0.009
sn1992bp    ;0.079;0.0793;18.314;0.139;-0.955;0.125;-0.101;0.05;10.876;0.281;48980.529;0.208;0.0002;0.0012;-0.00061;3;54.156901;-18.354166;-0.028
sn1992bs    ;0.063;0.0637;18.293;0.141;-0.176;0.134;-0.032;0.048;10.918;0.281;48985.248;0.464;-0.00167;0.00147;-0.00131;3;52.37489;-37.27185;-0.02
sn1992p     ;0.028;0.0254;16.068;0.144;0.744;0.394;-0.093;0.043;10.389;0.104;48718.558;0.559;-0.00259;0.00125;-0.00304;3;190.703864;10.360068;-0.01
sn1993ag    ;0.049;0.049;17.841;0.14;-0.83;0.145;0.06;0.047;10.73;0.281;49316.726;0.249;0.00024;0.00126;-0.00127;3;150.89374;-35.46263;-0.015
sn1993b     ;0.07;0.069;18.445;0.146;-0.439;0.294;0.016;0.057;10.497;0.3;49004.752;0.806;-0.00545;0.00235;-0.00215;3;158.71742;-34.44172;-0.024
sn1993h     ;0.024;0.0242;16.696;0.146;-2.161;0.067;0.111;0.029;10.778;0.281;49067.465;0.259;-0.00028;0.00084;-0.00053;3;208.20922;-30.70786;-0.009
sn1993o     ;0.053;0.051;17.645;0.14;-0.706;0.092;-0.081;0.045;10.06;0.281;49134.236;0.117;0.00048;0.00119;-0.00005;3;202.7849;-33.21516;-0.016
sn1994m     ;0.025;0.0232;16.312;0.145;-1.526;0.118;0.057;0.031;11.038;0.187;49475.168;0.279;0.00006;0.00087;0.00011;3;187.785864;0.605457;-0.01
sn1994s     ;0.016;0.0152;14.78;0.155;0.222;0.189;-0.065;0.031;10.452;0.085;49518.396;0.244;0.00253;0.00089;0.00061;3;187.841044;29.134436;-0.009
sn1995ac    ;0.049;0.0499;17.076;0.139;0.749;0.121;-0.038;0.028;7.892;1.014;49992.919;0.133;0.00058;0.00072;0.00009;3;341.39225;-8.751306;-0.015
sn1995ak    ;0.022;0.0227;16.021;0.149;-1.091;0.131;0.074;0.036;10.335;0.281;50021.793;0.388;0.00148;0.00131;0.00107;3;41.453458;3.230583;-0.009
sn1996bl    ;0.035;0.036;16.665;0.141;-0.028;0.134;-0.01;0.028;10.43;0.281;50376.55;0.17;0.00088;0.00075;0.00029;3;9.074875;11.394583;-0.011
sn1996bv    ;0.017;0.0167;15.351;0.153;0.823;0.27;0.165;0.029;9.937;0.281;50404.163;0.614;-0.00354;0.00083;-0.00034;3;94.054167;57.052472;-0.009
